
Echoes of Tomorrow 0.992, Silent Symphony 0.980, The Lunar Heist 0.866
Neon Samurai 0.996, Cybernetic Dawn 0.983, Quantum Rift 0.956
Neon Samurai 0.996, Cybernetic Dawn 0.983, Quantum Rift 0.956
Echoes of Tomorrow 0.995, Quantum Rift 0.994, Dreamweaver 0.992
Echoes of Tomorrow 0.995, Quantum Rift 0.994, Silent Symphony 0.980
Echoes of Tomorrow 0.995, Quantum Rift 0.994, Silent Symphony 0.980
Echoes of Tomorrow 0.995, Quantum Rift 0.994, Dreamweaver 0.992
The Last Alchemist 0.996, Voyage to Avalon 0.996, Winter’s Embrace 0.991
Voyage to Avalon 0.996, The Last Alchemist 0.976, Crimson Skies 0.956

Paper Kingdoms 0.983, The Silent Cartographer 0.983, Ink & Bone Dust 0.983
Clocktower Orphans 0.903, The Clockwork Archivist 0.876, Ashes of the Oracle 0.876
Ink & Bone Dust 0.996, The Bone Court 0.996, Song of Rust 0.993
Ink & Bone Dust 0.996, Song of Rust 0.993, Paper Kingdoms 0.981
The Clockwork Archivist 0.980, Paper Kingdoms 0.980, Ashes of the Oracle 0.980
Clocktower Orphans 0.940, Relic of the Fallen Sky 0.895, The Clockwork Archivist 0.885
The Seventh Door 0.858, The Silent Cartographer 0.830, Lanterns of Nowhere 0.798
The Glass Apothecary 0.934, Starlight Ciphers 0.891, Ink & Bone Dust 0.866
Ashes of the Oracle 0.994, Ember & Epitaph 0.992, The Glass Apothecary 0.981
The Silent Cartographer 0.981, Song of Rust 0.981, Starlight Ciphers 0.981
The Clockwork Archivist 0.947, The Silent Cartographer 0.947, Ashes of the Oracle 0.947
Weepers of the Tide 0.995, The Clockwork Archivist 0.995, The Glass Apothecary 0.995
The Glass Apothecary 0.998, Paper Kingdoms 0.980, The Silent Cartographer 0.973
Relic of the Fallen Sky 0.998, Clocktower Orphans 0.995, Starlight Ciphers 0.993
Violet Harvest 0.972, Hollow Crown 0.965, Ember & Epitaph 0.965
Weepers of the Tide 0.995, The Glass Apothecary 0.972, Violet Harvest 0.972
Ashes of the Oracle 1.000, Weepers of the Tide 0.998, The Seventh Door 0.998
Ashes of the Oracle 1.000, The Silent Cartographer 0.998, Weepers of the Tide 0.998
The Clockwork Archivist 0.980, Paper Kingdoms 0.980, The Silent Cartographer 0.980
Lanterns of Nowhere 0.981, The Clockwork Archivist 0.980, Paper Kingdoms 0.980
The Silent Cartographer 0.980, Ashes of the Oracle 0.980, Song of Rust 0.980
The Silent Cartographer 0.980, Ashes of the Oracle 0.980, Hollow Crown 0.980
Ashes of the Oracle 0.980, The Seventh Door 0.980, Relic of the Fallen Sky 0.980
Ashes of the Oracle 0.994, Hollow Crown 0.992, The Clockwork Archivist 0.980
The Clockwork Archivist 0.998, Ink & Bone Dust 0.991, Starlight Ciphers 0.991
The Clockwork Archivist 0.995, Hollow Crown 0.995, The Seventh Door 0.995
Gilded Shadows 0.966, Relic of the Fallen Sky 0.966, Paper Kingdoms 0.946
The Silent Cartographer 0.972, Song of Rust 0.972, The Glass Apothecary 0.955
Paper Kingdoms 0.995, The Silent Cartographer 0.995, Ashes of the Oracle 0.995
The Glass Apothecary 0.999, The Clockwork Archivist 0.992, The Silent Cartographer 0.992
Ink & Bone Dust 0.999, Gilded Shadows 0.999, Violet Harvest 0.999
Ember & Epitaph 0.802, Weepers of the Tide 0.763, Ink & Bone Dust 0.752
The Clockwork Archivist 0.995, Ashes of the Oracle 0.995, Hollow Crown 0.995
The Clockwork Archivist 1.000, Paper Kingdoms 1.000, The Silent Cartographer 1.000
Paper Kingdoms 0.980, The Silent Cartographer 0.980, Ashes of the Oracle 0.980
Paper Kingdoms 0.906, The Silent Cartographer 0.906, Ashes of the Oracle 0.906
Paper Kingdoms 0.906, The Silent Cartographer 0.906, Song of Rust 0.906
Paper Kingdoms 0.965, The Silent Cartographer 0.965, Ashes of the Oracle 0.965
Song of Rust 0.976, Relic of the Fallen Sky 0.976, The Silent Cartographer 0.957
Paper Kingdoms 0.926, The Silent Cartographer 0.926, Ashes of the Oracle 0.926
Paper Kingdoms 0.926, The Silent Cartographer 0.926, The Seventh Door 0.926
Paper Kingdoms 0.926, The Silent Cartographer 0.926, Ashes of the Oracle 0.926
Paper Kingdoms 0.926, The Silent Cartographer 0.926, Ashes of the Oracle 0.926
The Clockwork Archivist 0.995, Ashes of the Oracle 0.995, Hollow Crown 0.995
Frostbitten Psalms 1.000, The Seventh Door 1.000, Lanterns of Nowhere 1.000
